Year,State,Number in Poverty,Percent in Poverty
2019',Indiana,773367,12
2019',Iowa,337156,11
2019',Kansas,319931,11
2019',Kentucky,692875,16
2019',Louisiana,847739,19
2019',Maine,141566,11
2019',Maryland,537717,9
2019',Massachusetts,631551,10
2019',Michigan,1264445,13
2019',Minnesota,491782,9
2019',Mississippi,559764,20
2019',Missouri,766238,13
2019',Montana,130974,13
2019',Nebraska,186402,10
2019',Nevada,384900,13
2019',New Hampshire,98310,8
2019',New Jersey,795676,9
2019',New Mexico,358526,18
2019',New York,2471760,13
2019',North Carolina,1383760,14
2019',North Dakota,77327,11
2019',Ohio,1474285,13
2019',Oklahoma,578631,15
2019',Oregon,474302,12
2019',Pennsylvania,1481193,12
2019',Rhode Island,118095,12
2019',South Carolina,695259,14
2019',South Dakota,101371,12
2019',Tennessee,919850,14
2019',Texas,3870944,14
2019',Utah,279435,9
2019',Vermont,60624,10
2019',Virginia,822944,10
2019',Washington,731216,10
2019',West Virginia,281175,16
2019',Wisconsin,591404,10
2019',Wyoming,55776,10
2020',Alabama,714568,15
2020',Alaska,68714,10
2020',Arizona,932555,13
2020',Arkansas,448665,15
2020',California,4419167,12
2020',Colorado,511346,9
2020',Connecticut,333435,10
2020',Delaware,104400,11
2020',District of Columbia,101959,15
2020',Florida,2642642,12
2020',Georgia,1465328,14
2020',Hawaii,121182,9
2020',Idaho,181197,10
2020',Illinois,1351159,11
2020',Indiana,760167,12
2020',Iowa,313752,10
2020',Kansas,300931,11
2020',Kentucky,647158,15
2020',Louisiana,802040,18
2020',Maine,139614,11
2020',Maryland,533561,9
2020',Massachusetts,628899,9
2020',Michigan,1232948,13
2020',Minnesota,458302,8
2020',Mississippi,536535,19
2020',Missouri,725117,12
2020',Montana,130711,12
2020',Nebraska,172623,9
2020',Nevada,386817,13
2020',New Hampshire,92404,7
2020',New Jersey,818389,9
2020',New Mexico,346455,17
2020',New York,2401141,13
2020',North Carolina,1329685,13
2020',North Dakota,75781,10
2020',Ohio,1428219,13
2020',Oklahoma,552168,14
2020',Oregon,457940,11
2020',Pennsylvania,1345976,11
2020',Rhode Island,108306,11
2020',South Carolina,703004,14
2020',South Dakota,99903,12
2020',Tennessee,911097,14
2020',Texas,3862713,13
2020',Utah,234666,7
2020',Vermont,56281,9
